"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"328","4 28","4",28,11,"y",5,0,40.33,"2024"
"329","4 28","4",28,11,"n",5,6,40.33,"2024"
"330","4 28","4",28,11,"y",5,24,40.33,"2024"
"331","4 29","4",29,11,"y",5,0,40.42,"2024"
"332","4 29","4",29,11,"y",5,6,40.42,"2024"
"333","4 29","4",29,11,"y",5,24,40.42,"2024"
"334","4 30","4",30,11,"y",5,0,42.63,"2024"
"335","4 30","4",30,11,"y",5,6,42.63,"2024"
"336","4 30","4",30,11,"y",5,24,42.63,"2024"
"337","4 31","4",31,11,"y",5,0,32.29,"2024"
"338","4 31","4",31,11,"n",5,6,32.29,"2024"
"339","4 31","4",31,11,"y",5,24,32.29,"2024"
"340","8 1","8",1,11,"y",5,0,43.54,"2024"
"341","8 1","8",1,11,"y",5,6,43.54,"2024"
"342","8 1","8",1,11,"y",5,24,43.54,"2024"
"343","8 2","8",2,11,"y",5,0,43.25,"2024"
"344","8 2","8",2,11,"y",5,6,43.25,"2024"
"345","8 2","8",2,11,"y",5,24,43.25,"2024"
"346","8 3","8",3,11,"y",5,0,32.14,"2024"
"347","8 3","8",3,11,"n",5,6,32.14,"2024"
"348","8 3","8",3,11,"y",5,24,32.14,"2024"
"349","8 4","8",4,11,"y",5,0,78.77,"2024"
"350","8 4","8",4,11,"y",5,6,78.77,"2024"
"351","8 4","8",4,11,"y",5,24,78.77,"2024"
"352","8 5","8",5,11,"y",5,0,44.39,"2024"
"353","8 5","8",5,11,"y",5,6,44.39,"2024"
"354","8 5","8",5,11,"y",5,24,44.39,"2024"
"355","8 6","8",6,11,"y",5,0,51.65,"2024"
"356","8 6","8",6,11,"y",5,6,51.65,"2024"
"357","8 6","8",6,11,"y",5,24,51.65,"2024"
"358","8 7","8",7,17,"y",5,0,45.58,"2024"
"359","8 7","8",7,17,"y",5,6,45.58,"2024"
"360","8 7","8",7,17,"y",5,24,45.58,"2024"
"361","8 8","8",8,17,"y",5,0,63.07,"2024"
"362","8 8","8",8,17,"y",5,6,63.07,"2024"
"363","8 8","8",8,17,"y",5,24,63.07,"2024"
"364","8 9","8",9,17,"y",5,0,60.69,"2024"
"365","8 9","8",9,17,"y",5,6,60.69,"2024"
"366","8 9","8",9,17,"y",5,24,60.69,"2024"
