"","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","Jdate","rgrlog","gr"
"170","5 11","5",11,17,"y",4,0,0,14.31,14.31,"current",0,123,NA,NA
"171","5 11","5",11,17,"y",4,6,6,14.31,18.64,"current",4.33,123,0.0191343790430311,0.721666666666667
"172","5 11","5",11,17,"y",4,24,-6.06666666666667,14.31,29.1,"current",14.79,124,0.0128438898010888,0.61625
"173","2 10","2",10,11,"y",4,0,0,11.39,11.39,"current",0,123,NA,NA
"174","2 10","2",10,11,"y",4,6,6,11.39,12.22,"current",0.83,123,0.00509124697123919,0.138333333333333
"175","2 10","2",10,11,"y",4,23.9333333333333,-6.13333333333333,11.39,14.54,"current",3.15,124,0.00443066918289354,0.131615598885794
"176","2 11","2",11,23,"y",4,0,0,9.41,9.41,"current",0,123,NA,NA
"177","2 11","2",11,23,"y",4,6.11666666666667,6.11666666666667,9.41,13.48,"current",4.07,123,0.0255204799082361,0.665395095367847
"178","2 11","2",11,23,"y",4,24,-6.18333333333333,9.41,28.34,"current",18.93,124,0.019950425936841,0.78875
"179","2 12","2",12,23,"y",4,0,0,9.85,9.85,"current",0,123,NA,NA
"180","2 12","2",12,23,"y",4,6.11666666666667,6.11666666666667,9.85,15.51,"current",5.66,123,0.032235787572097,0.925340599455041
"181","2 12","2",12,23,"y",4,24,-6.18333333333333,9.85,37.61,"current",27.76,124,0.0242444626218661,1.15666666666667
"182","2 13","2",13,23,"y",4,0,0,15.45,15.45,"current",0,123,NA,NA
"183","2 13","2",13,23,"y",4,6.11666666666667,6.11666666666667,15.45,22.53,"current",7.08,123,0.026784638904029,1.1574931880109
"184","2 13","2",13,23,"y",4,24,-6.18333333333333,15.45,41.48,"current",26.03,124,0.0178712609981729,1.08458333333333
"185","2 14","2",14,23,"y",4,0,0,14.82,14.82,"current",0,123,NA,NA
"186","2 14","2",14,23,"y",4,6.11666666666667,6.11666666666667,14.82,21.51,"current",6.69,123,0.0264510419745209,1.09373297002725
"187","2 14","2",14,23,"y",4,24,-6.18333333333333,14.82,45.82,"current",31,124,0.0204252867170862,1.29166666666667
"188","2 15","2",15,23,"y",4,0,0,15.96,15.96,"current",0,123,NA,NA
"189","2 15","2",15,23,"y",4,6.11666666666667,6.11666666666667,15.96,24.17,"current",8.21,123,0.0294676452413525,1.34223433242507
"190","2 15","2",15,23,"y",4,24,-6.18333333333333,15.96,47.05,"current",31.09,124,0.0195636141978569,1.29541666666667
"191","5 12","5",12,23,"y",4,0,0,10.37,10.37,"current",0,123,NA,NA
"192","5 12","5",12,23,"y",4,6,6,10.37,15.72,"current",5.35,123,0.0301122975523913,0.891666666666667
"193","5 12","5",12,23,"y",4,24.0166666666667,-6.08333333333333,10.37,38.73,"current",28.36,124,0.0238279836473439,1.18084663428175
"194","5 13","5",13,23,"y",4,0,0,13.47,13.47,"current",0,123,NA,NA
"195","5 13","5",13,23,"y",4,6,6,13.47,23.54,"current",10.07,123,0.0404064771307384,1.67833333333333
"196","5 13","5",13,23,"y",4,24.0166666666667,-6.08333333333333,13.47,52.85,"current",39.38,124,0.0247193919189643,1.63969465648855
"197","5 14","5",14,23,"y",4,0,0,15.84,15.84,"current",0,123,NA,NA
"198","5 14","5",14,23,"y",4,6,6,15.84,27.3,"current",11.46,123,0.0394012449645469,1.91
"199","5 14","5",14,23,"y",4,24.0166666666667,-6.08333333333333,15.84,64.51,"current",48.67,124,0.0253936931842016,2.0265093684941
"200","5 15","5",15,23,"y",4,0,0,11.08,11.08,"current",0,123,NA,NA
"201","5 15","5",15,23,"y",4,6,6,11.08,16.25,"current",5.17,123,0.027718934153747,0.861666666666667
"202","5 15","5",15,23,"y",4,24.0166666666667,-6.08333333333333,11.08,39.16,"current",28.08,124,0.0228301008773916,1.16918806384455
"203","5 16","5",16,23,"y",4,0,0,15.92,15.92,"current",0,123,NA,NA
"204","5 16","5",16,23,"y",4,6,6,15.92,29.3,"current",13.38,123,0.0441540928254099,2.23
"205","5 16","5",16,23,"y",4,24.0166666666667,-6.08333333333333,15.92,61.38,"current",45.46,124,0.0244032125202285,1.89285218598196
"206","5 17","5",17,23,"y",4,0,0,18.44,18.44,"current",0,123,NA,NA
"207","5 17","5",17,23,"y",4,6,6,18.44,27.92,"current",9.48,123,0.0300257495389188,1.58
"208","5 17","5",17,23,"y",4,24.0166666666667,-6.08333333333333,18.44,67.35,"current",48.91,124,0.0234244281752142,2.03650242886884
"209","4 18","4",18,29,"y",4,0,0,10.19,10.19,"current",0,123,NA,NA
"210","4 18","4",18,29,"y",4,6,6,10.19,16.57,"current",6.38,123,0.0351913874021517,1.06333333333333
"211","4 19","4",19,29,"y",4,0,0,14.24,14.24,"current",0,123,NA,NA
"212","4 19","4",19,29,"y",4,6,6,14.24,27.18,"current",12.94,123,0.0467899105159396,2.15666666666667
"213","4 20","4",20,29,"y",4,0,0,12.01,12.01,"current",0,123,NA,NA
"214","4 20","4",20,29,"y",4,6,6,12.01,21.74,"current",9.73,123,0.0429527553912283,1.62166666666667
"215","4 21","4",21,29,"y",4,0,0,8.72,8.72,"current",0,123,NA,NA
"216","4 21","4",21,29,"y",4,6,6,8.72,14.73,"current",6.01,123,0.0379477103183439,1.00166666666667
"217","4 22","4",22,29,"y",4,0,0,10.98,10.98,"current",0,123,NA,NA
"218","4 22","4",22,29,"y",4,6,6,10.98,18.67,"current",7.69,123,0.0384236629725009,1.28166666666667
"219","5 18","5",18,29,"y",4,0,0,15.54,15.54,"current",0,123,NA,NA
"220","5 18","5",18,29,"y",4,6,6,15.54,26.76,"current",11.22,123,0.0393391824384817,1.87
"221","5 19","5",19,29,"y",4,0,0,12.8,12.8,"current",0,123,NA,NA
"222","5 19","5",19,29,"y",4,6,6,12.8,23.91,"current",11.11,123,0.0452282677446511,1.85166666666667
"223","5 20","5",20,29,"y",4,0,0,19.07,19.07,"current",0,123,NA,NA
"224","5 20","5",20,29,"y",4,6,6,19.07,30.04,"current",10.97,123,0.0328915392143542,1.82833333333333
"225","5 21","5",21,29,"y",4,0,0,19.59,19.59,"current",0,123,NA,NA
"226","5 21","5",21,29,"y",4,6,6,19.59,31.21,"current",11.62,123,0.0337098887784327,1.93666666666667
"227","5 22","5",22,29,"y",4,0,0,16.11,16.11,"current",0,123,NA,NA
"228","5 22","5",22,29,"y",4,6,6,16.11,27.56,"current",11.45,123,0.038863945469395,1.90833333333333
"229","5 23","5",23,29,"y",4,0,0,13.91,13.91,"current",0,123,NA,NA
"230","5 23","5",23,29,"y",4,6,6,13.91,26.2,"current",12.29,123,0.0458290268879498,2.04833333333333
"231","5 24","5",24,29,"y",4,0,0,15.64,15.64,"current",0,123,NA,NA
"232","5 24","5",24,29,"y",4,6,6,15.64,31.25,"current",15.61,123,0.0501022121593775,2.60166666666667
"233","2 16","2",16,29,"y",5,0,0,91.3,91.3,"current",0,123,NA,NA
"234","2 16","2",16,29,"y",5,6,6,91.3,156.58,"current",65.28,123,0.0390442518657326,10.88
"235","2 16","2",16,29,"y",5,24,-6.2,91.3,153.39,"current",62.09,124,0.00938859457966252,2.58708333333333
"236","2 17","2",17,29,"y",5,0,0,49.49,49.49,"current",0,123,NA,NA
"237","2 17","2",17,29,"y",5,6,6,49.49,80.3,"current",30.81,123,0.0350330152445875,5.135
"238","2 17","2",17,29,"y",5,24,-6.2,49.49,156.08,"current",106.59,124,0.0207845751073044,4.44125
"239","2 18","2",18,29,"y",5,0,0,73.08,73.08,"current",0,123,NA,NA
"240","2 18","2",18,29,"y",5,6,6,73.08,106.63,"current",33.55,123,0.0273468117544512,5.59166666666667
"241","2 18","2",18,29,"y",5,24,-6.2,73.08,175.95,"current",102.87,124,0.0158996138537796,4.28625
"242","2 19","2",19,29,"y",5,0,0,74.17,74.17,"current",0,123,NA,NA
"243","2 19","2",19,29,"y",5,6,6,74.17,108.46,"current",34.29,123,0.0275068868479403,5.715
"244","2 19","2",19,29,"y",5,24,-6.2,74.17,147.24,"current",73.07,124,0.0124082304067848,3.04458333333333
"245","2 20","2",20,29,"y",5,0,0,91.23,91.23,"current",0,123,NA,NA
"246","2 20","2",20,29,"y",5,6,6,91.23,133.65,"current",42.42,123,0.0276385480381269,7.07
"247","2 20","2",20,29,"y",5,24,-6.2,91.23,165.85,"current",74.62,124,0.0108157417079878,3.10916666666667
"248","5 25","5",25,29,"y",5,0,0,69,69,"current",0,123,NA,NA
"249","5 25","5",25,29,"y",5,6,6,69,126.07,"current",57.07,123,0.0436271103494225,9.51166666666666
"250","5 25","5",25,29,"y",5,24,-6.2,69,160.14,"current",91.14,124,0.0152354472264123,3.7975
"251","1 22","1",22,29,"y",4,0,0,11.69,11.69,"current",0,123,NA,NA
"252","1 22","1",22,29,"y",4,6,6,11.69,19.72,"current",8.03,123,0.0378487332405587,1.33833333333333
"253","1 23","1",23,29,"y",4,0,0,17.76,17.76,"current",0,123,NA,NA
"254","1 23","1",23,29,"y",4,6,6,17.76,27.24,"current",9.48,123,0.0309606902996942,1.58
"255","1 24","1",24,29,"y",4,0,0,10.44,10.44,"current",0,123,NA,NA
"256","1 24","1",24,29,"y",4,6,6,10.44,19.04,"current",8.6,123,0.043494407563702,1.43333333333333
"257","1 25","1",25,29,"y",4,0,0,11.23,11.23,"current",0,123,NA,NA
"258","1 25","1",25,29,"y",4,6,6,11.23,19.39,"current",8.16,123,0.0395330088028746,1.36
"259","1 26","1",26,29,"y",4,0,0,9.94,9.94,"current",0,123,NA,NA
